title,address,tipology,area,monthly_cost
Edificio Panoramic T2 Como Novo com Parqueamento,"Apartamento para arrendar: Parque das Nações, Lisboa",T2,88 m²,"
                                                                                    1 900 €                                                        /mês                                                                        "
T2 Alcântara para arrendar. Condomínio Alcântara Rio.,"Apartamento para arrendar: Alcântara, Lisboa",T2,117 m²,"
                                                                                    1 800 €                                                        /mês                                                                        "
T4-Excelente apartamento c/garagem junto metro Lumiar,"Apartamento para arrendar: Lumiar, Lisboa",T4,130 m²,"
                                                                                    1 250 €                                                        /mês                                                                        "
Saldanha T1 com garagem na Av Fontes Pereira de Melo,"Apartamento para arrendar: Arroios, Lisboa",T1,58 m²,"
                                                                                    1 450 €                                                        /mês                                                                        "
APARTAMENTO T1 REMODELADO em Arroios,"Apartamento para arrendar: Arroios, Lisboa",T1,46 m²,"
                                                                                    1 400 €                                                        /mês                                                                        "
Apartamento T3 em condomínio  com piscina na Costa da Gui...,"Apartamento para arrendar: Cascais e Estoril, Cascais, Lisboa",T3,124 m²,"
                                                                                    1 900 €                                                        /mês                                                                        "
Apartamento T3  para arrendamento em condomínio com pisci...,"Apartamento para arrendar: Cascais e Estoril, Cascais, Lisboa",T3,125 m²,"
                                                                                    1 900 €                                                        /mês                                                                        "
"T2 Semi Mobilado, Urbanização da Ribeirada, Odivelas","Apartamento para arrendar: Odivelas, Lisboa",T2,74 m²,"
                                                                                    900 €                                                        /mês                                                                        "
Apartamento T3 a 5min do Centro da Vila,"Apartamento para arrendar: Ericeira, Mafra, Lisboa",T3,"127,50 m²","
                                                                                    850 €                                                        /mês                                                                        "
"T2 estimado nas Colinas do Cruzeiro, Odivelas","Apartamento para arrendar: Odivelas, Lisboa",T2,82 m²,"
                                                                                    1 290 €                                                        /mês                                                                        "
"T3 Renovado - Avenida Roma, Lisboa","Apartamento para arrendar: Alvalade, Lisboa",T3,97 m²,"
                                                                                    1 450 €                                                        /mês                                                                        "
title,address,typology,area,monthly_cost
Apartamento T1 na Avenida João Crisóstomo - Arrendamento Prime,"Apartamento para arrendar: Avenidas Novas, Lisboa",T1,62 m²,"
                                                                                    1 500 €                                                        /mês                                                                        "
APARTAMENTO T3 - S. DOMINGOS BENFICA,"Apartamento para arrendar: São Domingos de Benfica, Lisboa",T3,115 m²,"
                                                                                    1 150 €                                                        /mês                                                                        "
